customer_id,fist_name,middle_name,last_name_1,last_name_2,date_of_birth
980441978,Santiago,,Hernández,Gómez,1944-06-07
391904739,Paula,Felipe,Rodríguez,López,2002-02-05
922225805,Sara,,Torres,Gómez,1944-11-08
769124422,Paula,Sara,López,Ramírez,1994-01-24
111676250,Natalia,,Pérez,Ramírez,1951-01-16
96566163,Andrés,,Pérez,Torres,1965-01-22
587325980,Juan,Felipe,Pérez,,2005-11-12
305618254,Camilo,,García,Pérez,1958-11-03
928170418,Sara,,López,,1981-04-27
423237619,Santiago,Andrés,Gómez,Martínez,1957-03-27
88682336,Camilo,Diego,Torres,Hernández,1946-06-04
793064610,María,Luis,Ramírez,Gómez,1951-10-19
806267830,Juliana,,López,,2006-01-08
324560052,Javier,,Gómez,Ramírez,1998-08-04
703232121,Felipe,,Martínez,,1999-10-18
200342319,Juan,,Sánchez,García,1980-12-09
587585479,Sara,,López,,1966-12-16
755003559,Javier,,Pérez,,2007-07-28
11209797,Valentina,,Sánchez,,1986-01-08
20705787,Diego,Laura,Torres,,2001-09-02
136213034,Luis,,Gómez,,1958-03-15
717084940,Santiago,,Sánchez,,1961-04-27
64289152,Camila,Felipe,Torres,Pérez,1977-12-28
226200842,Juliana,Luis,Gómez,Gómez,1947-03-16
936536779,Luis,Mateo,Rodríguez,,1950-08-26
298120842,Diego,Javier,Ramírez,,1958-08-12
211742380,María,,Torres,Martínez,1984-09-26
818715150,Luis,Natalia,Sánchez,,1989-12-29
657811107,Daniela,,Sánchez,,1968-02-14
475254744,Sara,Santiago,Hernández,Gómez,2002-01-07
566219916,Luis,,Gómez,Gómez,1965-01-28
207212647,Paula,María,Gómez,Rodríguez,1989-05-14
100958562,Mateo,Daniela,Sánchez,Pérez,1959-11-04
406220634,Laura,Javier,Pérez,García,1944-12-07
42063040,Andrea,Luis,Pérez,Torres,2004-10-10
853700234,Natalia,Andrés,García,,1984-02-09
247491006,Santiago,Javier,Gómez,Ramírez,1962-08-06
740795887,Andrés,Juan,Pérez,Martínez,1973-06-19
255674459,Luis,,Ramírez,,1943-05-02
775155624,Juan,,López,Hernández,1940-10-15
868272439,Sara,Camilo,Hernández,Gómez,1951-12-08
724418040,Santiago,Mateo,Hernández,,1943-02-12
