staff_id,fist_name,middle_name,last_name_1,last_name_2,phone_number,email,salary,tipe_worked
1,Daniela,,Rodríguez,,325596387,daniela.rodríguez21@hotmail.com,900000,administrador
2,Juan,,García,Ramírez,314185666,juan.garcía69@outlook.com,900000,empleado
3,Valentina,,Hernández,Gómez,307086180,valentina.hernández95@outlook.com,3000000,empleado
4,Paula,,López,Pérez,307828933,paula.lópez81@hotmail.com,1000000,administrador
5,Javier,Carlos,Rodríguez,,308395580,javier.rodríguez49@gmail.com,1500000,administrador
6,Sara,Paula,Pérez,Hernández,307491319,sara.pérez40@gmail.com,1500000,empleado
7,Daniela,Javier,García,,304291420,daniela.garcía47@outlook.com,1200000,empleado
8,Andrea,Felipe,Torres,Ramírez,318640912,andrea.torres57@gmail.com,1800000,empleado
9,Santiago,María,Martínez,Martínez,306691465,santiago.martínez83@hotmail.com,3000000,empleado
10,Juliana,Sara,López,,314872984,juliana.lópez53@outlook.com,2000000,administrador
11,Paula,,Martínez,,313027840,paula.martínez44@hotmail.com,1200000,administrador
12,Valentina,,Torres,,316917537,valentina.torres34@gmail.com,1200000,administrador
13,Daniela,,Hernández,,314397548,daniela.hernández32@outlook.com,1500000,administrador
14,Camilo,Javier,Hernández,Pérez,315451689,camilo.hernández32@outlook.com,2000000,empleado
15,Diego,,Pérez,,323736550,diego.pérez80@outlook.com,3000000,empleado
16,Felipe,,Martínez,Ramírez,324160707,felipe.martínez57@hotmail.com,3000000,administrador
17,Andrea,,Ramírez,Sánchez,315885360,andrea.ramírez60@hotmail.com,1000000,administrador
18,Camilo,Andrea,Pérez,,325426248,camilo.pérez33@hotmail.com,1800000,empleado
19,Laura,,García,Torres,312957034,laura.garcía94@outlook.com,3000000,empleado
20,Valentina,Carlos,Hernández,,313921894,valentina.hernández55@gmail.com,2000000,administrador
21,Juliana,Javier,Rodríguez,Ramírez,324984224,juliana.rodríguez48@outlook.com,800000,administrador
22,Felipe,Andrea,Torres,,304401065,felipe.torres44@hotmail.com,1000000,administrador
23,Camila,Laura,García,Ramírez,326944220,camila.garcía99@gmail.com,1200000,administrador
24,Andrés,,Rodríguez,Ramírez,313989113,andrés.rodríguez13@outlook.com,1000000,administrador
25,Juan,,Pérez,Hernández,328485901,juan.pérez31@gmail.com,2000000,administrador
26,Javier,Daniela,García,Rodríguez,303334734,javier.garcía37@hotmail.com,1800000,empleado
27,Natalia,,Pérez,Sánchez,322159443,natalia.pérez59@hotmail.com,900000,empleado
28,Andrés,,Hernández,Hernández,312857844,andrés.hernández75@gmail.com,800000,empleado
29,Valentina,Natalia,Martínez,Rodríguez,314358904,valentina.martínez2@hotmail.com,1500000,administrador
30,Diego,,Gómez,,327256780,diego.gómez25@outlook.com,800000,administrador
31,Luis,,Torres,,318017758,luis.torres60@gmail.com,2500000,administrador
32,Luis,,Torres,García,329343730,luis.torres50@outlook.com,800000,empleado
33,Santiago,Laura,García,,306112505,santiago.garcía53@gmail.com,1000000,administrador
34,Camila,,García,Ramírez,324100052,camila.garcía62@outlook.com,1500000,empleado
35,Santiago,,López,,306316650,santiago.lópez49@gmail.com,800000,administrador
36,Mateo,,Martínez,,328997623,mateo.martínez63@outlook.com,1200000,administrador
37,Javier,,Ramírez,Gómez,319780340,javier.ramírez14@gmail.com,900000,administrador
38,Andrea,,Pérez,,312757938,andrea.pérez44@hotmail.com,900000,administrador
39,Diego,Andrea,Pérez,García,314021651,diego.pérez95@hotmail.com,900000,administrador
40,Juan,,Pérez,Torres,312908781,juan.pérez97@gmail.com,1200000,empleado
41,María,Daniela,Pérez,García,323839483,maría.pérez50@outlook.com,1800000,administrador
42,Laura,Carlos,Martínez,García,307980192,laura.martínez11@gmail.com,800000,administrador
43,Paula,Laura,Torres,Sánchez,312872148,paula.torres13@hotmail.com,3000000,empleado
44,Daniela,,Rodríguez,Martínez,324031596,daniela.rodríguez5@gmail.com,2000000,empleado
45,Natalia,Diego,Martínez,,301540821,natalia.martínez8@outlook.com,900000,empleado
46,Camilo,,Gómez,,321062749,camilo.gómez2@gmail.com,1800000,administrador
47,Juliana,,Rodríguez,,317926895,juliana.rodríguez70@hotmail.com,1000000,empleado
48,Valentina,Daniela,Rodríguez,,306021621,valentina.rodríguez16@outlook.com,1800000,empleado
49,Camilo,,García,,327214798,camilo.garcía12@hotmail.com,2000000,administrador
50,Camila,,Ramírez,,304993125,camila.ramírez58@gmail.com,900000,administrador
51,Juan,Luis,Torres,García,304245852,juan.torres97@gmail.com,3000000,administrador
52,Natalia,Juan,Torres,,318187443,natalia.torres76@outlook.com,1800000,administrador
53,Laura,,López,,308903795,laura.lópez69@gmail.com,1000000,empleado
54,Paula,,Hernández,Ramírez,321900550,paula.hernández28@gmail.com,3000000,administrador
55,Daniela,Natalia,Sánchez,,302261658,daniela.sánchez51@gmail.com,1500000,empleado
56,Mateo,Camila,Martínez,,309021709,mateo.martínez49@hotmail.com,3000000,administrador
57,Juan,Camila,Sánchez,Pérez,315839213,juan.sánchez16@outlook.com,3000000,empleado
58,Juliana,,Gómez,,306776057,juliana.gómez11@outlook.com,1800000,administrador
59,Andrés,,Martínez,Martínez,327004607,andrés.martínez45@hotmail.com,2500000,empleado
60,Luis,Javier,Rodríguez,,307989893,luis.rodríguez2@outlook.com,2000000,empleado
61,Diego,,Pérez,,323678286,diego.pérez73@gmail.com,2500000,empleado
62,Carlos,Luis,Sánchez,Hernández,328499685,carlos.sánchez4@gmail.com,1200000,empleado
63,Daniela,,García,,322751408,daniela.garcía43@hotmail.com,1800000,empleado
64,María,,Pérez,,324799110,maría.pérez2@gmail.com,1800000,administrador
65,Natalia,Camilo,Ramírez,,325489521,natalia.ramírez7@gmail.com,3000000,administrador
66,Camila,,Pérez,,308307970,camila.pérez44@gmail.com,800000,empleado
67,María,Daniela,Gómez,Gómez,328160225,maría.gómez30@hotmail.com,1000000,empleado
68,Andrea,,Rodríguez,,318018058,andrea.rodríguez46@outlook.com,1200000,empleado
69,Javier,Juliana,Pérez,,305379441,javier.pérez75@hotmail.com,1000000,administrador
70,Sara,Paula,Pérez,,305338352,sara.pérez84@gmail.com,1800000,empleado
71,Valentina,Felipe,Rodríguez,García,317225224,valentina.rodríguez13@outlook.com,3000000,administrador
72,Mateo,Santiago,Rodríguez,Pérez,321889932,mateo.rodríguez82@hotmail.com,3000000,empleado
73,Andrés,,Rodríguez,,329564370,andrés.rodríguez25@outlook.com,900000,empleado
74,Diego,,Ramírez,,323721039,diego.ramírez36@hotmail.com,3000000,empleado
75,Javier,Valentina,Rodríguez,,314500114,javier.rodríguez94@gmail.com,2500000,empleado
76,Luis,,Hernández,Martínez,322830277,luis.hernández89@outlook.com,1500000,empleado
77,Juliana,,Hernández,,307630979,juliana.hernández53@outlook.com,1000000,empleado
78,Paula,Valentina,López,,313124029,paula.lópez97@outlook.com,1500000,administrador
79,Natalia,Santiago,Hernández,Pérez,308261884,natalia.hernández19@gmail.com,2000000,empleado
80,Carlos,,García,Pérez,301473450,carlos.garcía90@hotmail.com,900000,empleado
81,María,,Gómez,,318518505,maría.gómez42@hotmail.com,1800000,administrador
82,Luis,,Hernández,Pérez,327515690,luis.hernández70@hotmail.com,1200000,administrador
83,Camilo,Andrés,Gómez,Torres,318306521,camilo.gómez38@outlook.com,3000000,administrador
84,Carlos,Sara,López,Sánchez,319856826,carlos.lópez64@gmail.com,1000000,empleado
85,Valentina,,Pérez,Sánchez,316623159,valentina.pérez60@hotmail.com,800000,empleado
86,Valentina,,Torres,,312508752,valentina.torres37@hotmail.com,1800000,empleado
87,Diego,Felipe,López,,308168068,diego.lópez91@outlook.com,2500000,administrador
88,María,,Rodríguez,,307117985,maría.rodríguez99@hotmail.com,2000000,administrador
89,Santiago,Andrés,Martínez,López,323574722,santiago.martínez90@gmail.com,800000,administrador
